last_name, first_name,pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
López, Jorge,605347,21.1,35.9,,5.6,13.8,23.7,,,,
Smyly, Drew,592767,,46.5,11.5,,,42.0,,,,
Gilbert, Logan,669302,61.5,,,23.6,7.7,7.2,,,,
Gallen, Zac,668678,53.6,0.4,8.4,8.4,16.7,12.5,,,,
Valdez, Framber,664285,5.0,52.1,,,12.1,30.8,,,,
Smith, Caleb,592761,48.1,,,29.6,14.7,7.5,,,,
Allard, Kolby,663465,46.9,0.4,24.8,,16.8,11.1,,,,
Ohtani, Shohei,660271,44.0,,12.3,0.3,,3.4,18.1,,21.9,
Kaprielian, James,621076,52.8,6.0,,17.4,15.7,8.1,,,,
McKenzie, Triston,663474,61.6,,,19.1,1.3,18.0,,,,
Gant, John,607231,12.5,36.8,19.7,3.0,22.5,5.6,,,,
Wacha, Michael,608379,35.9,3.5,24.9,,29.4,6.3,,,,
Lauer, Eric,641778,43.9,,18.3,12.1,11.3,14.5,,,,
Alzolay, Adbert,640470,18.5,27.0,6.5,39.8,7.1,1.1,,,,
McClanahan, Shane,663556,40.9,,,34.7,8.0,16.3,,,,
Brubaker, JT,664141,24.5,24.6,,34.2,6.3,10.4,,,,
Mills, Alec,621219,17.3,42.9,,12.6,16.8,10.4,,,,
Civale, Aaron,650644,22.4,10.5,25.1,11.9,,16.2,13.8,,,
Dunning, Dane,641540,0.4,52.3,8.0,22.1,13.0,4.2,,,,
Freeland, Kyle,607536,25.3,14.8,,22.7,17.2,19.9,,,,
Cueto, Johnny,456501,35.9,15.5,1.5,21.7,23.7,1.7,,,,
Paddack, Chris,663978,61.5,,,,26.2,12.3,,,,
Pérez, Martín,527048,13.1,25.3,28.9,,24.3,8.4,,,,
Keller, Mitch,656605,56.7,,24.0,,4.7,14.5,,,,
Gomber, Austin,596295,40.7,,,24.3,19.4,15.6,,,,
Odorizzi, Jake,543606,55.2,,10.3,7.3,,5.2,22.0,,,
Manoah, Alek,666201,36.3,26.6,,27.8,9.4,,,,,
Gutierrez, Vladimir,661269,47.2,0.2,,22.8,12.2,17.6,,,,
Kershaw, Clayton,477132,36.8,,,47.5,0.6,15.1,,,,
Javier, Cristian,664299,59.4,,,27.0,5.9,7.8,,,,
Bauer, Trevor,545333,40.2,5.8,21.6,,2.6,11.2,,,18.6,
Kim, Kwang Hyun,547942,41.0,0.8,,37.6,11.8,8.9,,,,
Maeda, Kenta,628317,25.9,5.3,,36.7,,3.6,28.5,,,
Akin, Keegan,669211,57.2,,,19.6,19.5,3.7,,,,
Velasquez, Vince,592826,49.9,4.4,,13.8,15.3,16.6,,,,
Arrieta, Jake,453562,,52.7,,23.8,8.1,15.4,,,,
Espino, Paolo,502179,55.2,,,0.3,4.1,24.2,,,16.1,
Luzardo, Jesús,666200,32.6,18.4,,28.8,20.2,,,,,
Hearn, Taylor,621368,46.2,21.3,0.2,19.9,12.3,,,,,
Pineda, Michael,501381,54.2,,,28.9,16.9,,,,,
Ross, Joe,605452,16.0,46.6,,31.3,6.1,,,,,
Ureña, José,570632,16.0,47.3,,23.0,13.6,,,,,
Stripling, Ross,548389,51.0,,,18.4,15.2,15.4,,,,
López, Pablo,641154,31.8,12.6,13.5,,32.5,9.6,,,,
Alexander, Tyler,641302,14.7,21.1,36.3,9.5,18.4,0.1,,,,
González, Chi Chi,592346,46.6,5.6,9.2,23.9,9.7,5.0,,,,
Urquidy, José,664353,54.9,,,,18.2,7.4,,,19.5,
Fleming, Josh,676596,0.5,45.7,27.0,,22.0,4.7,,,,
Weathers, Ryan,677960,54.1,7.8,,30.6,7.5,,,,,
Eflin, Zach,621107,12.4,41.6,0.4,24.1,10.7,10.8,,,,
Suárez, Ranger,624133,22.6,45.5,,7.8,24.1,,,,,
Cobb, Alex,502171,4.5,42.1,,,,16.3,37.0,,,
Germán, Domingo,593334,28.7,14.8,,,22.4,34.0,,,,
Suarez, José,660761,40.7,7.0,,,28.6,23.7,,,,
Bieber, Shane,669456,35.3,,3.2,25.5,4.7,31.2,,,,
Megill, Tylor,656731,57.6,,,18.7,20.9,2.8,,,,
Peralta, Wily,503449,23.9,31.2,,22.2,,,22.7,,,
Williams, Trevor,592866,48.3,12.1,,20.6,10.0,9.0,,,,
Cortes, Nestor,641482,42.6,4.1,23.5,0.3,9.7,,,,19.8,
Bundy, Dylan,605164,34.2,17.3,,21.2,13.7,13.7,,,,
Anderson, Brett,474463,0.6,45.1,8.2,7.4,25.7,13.1,,,,
Ynoa, Huascar,660623,44.7,0.5,,48.2,6.6,,,,,
Ober, Bailey,641927,58.0,,,18.4,13.0,10.6,,,,
Sheffield, Justus,656954,0.7,46.3,,32.1,20.8,,,,,
Sandoval, Patrick,663776,24.4,18.7,,17.2,29.6,10.1,,,,
Kuhl, Chad,641771,25.4,13.0,,46.1,4.3,11.2,,,,
Hernández, Carlos,672578,55.8,,,16.2,,18.5,9.4,,,
Manning, Matt,666159,41.3,19.5,,15.2,12.7,11.3,,,,
Morgan, Eli,669212,48.7,,0.9,23.6,22.8,4.1,,,,
Jax, Griffin,643377,45.9,,,,14.0,9.0,,,31.1,
Stratton, Chris,608717,48.1,0.2,,13.7,12.7,25.3,,,,
Shaw, Bryan,543766,1.6,,77.7,10.8,4.2,5.7,,,,
Patiño, Luis,672715,60.6,3.2,,26.4,5.0,4.8,,,,
Hoffman, Jeff,656546,56.0,,,21.0,12.1,10.8,,,,
Flaherty, Jack,656427,50.6,6.2,,28.3,1.8,13.1,,,,
Glasnow, Tyler,607192,51.6,,,32.3,2.5,13.5,,,,
Kluber, Corey,446372,4.6,25.1,27.2,,13.8,29.4,,,,
Crismatt, Nabil,622503,13.5,11.7,,,51.2,23.6,,,,
Peacock, Matt,676840,0.2,68.2,,24.5,7.2,,,,,
Green, Chad,643338,65.1,0.4,,,,34.5,,,,
Stammen, Craig,489334,0.3,47.6,22.1,,0.5,29.5,,,,
Martinez, Carlos,593372,27.5,13.8,21.3,22.8,13.5,1.1,,,,
Boyd, Matthew,571510,41.9,5.6,,22.4,22.5,7.6,,,,
Hentges, Sam,656529,41.5,9.2,,23.9,0.5,24.9,,,,
Lynch, Daniel,663738,40.5,11.9,,28.6,16.3,2.7,,,,
Moore, Matt,519043,57.1,,8.4,,19.2,15.3,,,,
Reyes, Alex,621052,30.7,23.8,,28.0,9.0,8.4,,,,
Neris, Hector,593576,36.8,19.0,,3.5,,,40.6,,,
Luetge, Lucas,476595,0.1,,62.0,22.4,,15.2,,,0.2,
Quintana, José,500779,40.8,17.8,,,14.6,26.8,,,,
Mayers, Mike,594577,37.9,,30.3,31.6,0.2,0.1,,,,
Gallegos, Giovanny,606149,52.8,,,42.6,4.6,,,,,
Cishek, Steve,518553,19.4,41.3,,39.0,0.2,,,,,
Castro, Miguel,612434,,42.8,,35.3,22.0,,,,,
deGrom, Jacob,594798,57.4,,,33.4,8.9,0.3,,,,
Guerra, Junior,448855,17.6,38.4,,12.1,,16.1,15.8,,,
Barlow, Scott,605130,33.1,0.2,,46.4,,20.3,,,,
Suter, Brent,608718,72.3,4.3,,9.7,9.5,4.1,,,,
Widener, Taylor,642203,66.5,,0.1,17.3,16.0,0.1,,,,
Bard, Daniel,453268,33.8,14.6,,46.1,5.4,,,,,
Gray, Josiah,680686,51.6,,,19.8,3.3,25.3,,,,
Stephan, Trevor,663986,59.8,,,32.1,,,8.1,,,
Finnegan, Kyle,640448,,68.4,,19.4,,,12.2,,,
Rasmussen, Drew,656876,65.0,,,27.6,2.4,2.7,,,2.3,
Cabrera, Génesis,650893,44.9,19.2,,,16.9,18.9,,,,
Thompson, Zach,605507,27.1,8.2,35.1,,12.7,16.9,,,,
Funkhouser, Kyle,608335,21.8,40.3,,30.2,7.7,,,,,
Robles, Hansel,570663,55.1,0.7,,14.4,29.7,0.1,,,,
Fulmer, Michael,605242,17.4,28.3,39.8,,11.2,3.2,,,,
Price, David,456034,18.2,34.6,20.2,,25.0,2.0,,,,
Trivino, Lou,642152,26.4,32.7,17.0,,12.4,11.5,,,,
Underwood Jr., Duane,621249,36.1,10.1,0.8,0.8,27.3,24.9,,,,
Maton, Phil,664208,49.1,,7.2,14.5,,24.2,,,4.9,
Stanek, Ryne,592773,59.7,,,18.5,,,21.8,,,
